time-point	#client-msg	#server-msg	client-bytes	server-bytes	avg-client-bytes	avg-server-bytes
2018-02-08 17:28:37	34	18	1570	1410	46.18	78.33	0228	59	storm	alive
2018-02-08 17:28:38	38	17	1670	1441	43.95	84.76	0229	58	storm	alive
2018-02-08 17:28:39	36	17	1332	1345	37.00	79.12	0230	57	storm	alive
2018-02-08 17:28:40	35	17	1523	1553	43.51	91.35	0231	57	storm	alive
2018-02-08 17:28:41	35	17	1603	1329	45.80	78.18	0232	56	storm	alive
2018-02-08 17:28:42	36	17	1556	1217	43.22	71.59	0233	55	storm	alive
2018-02-08 17:28:43	33	18	1441	1346	43.67	74.78	0234	55	storm	alive
2018-02-08 17:28:44	37	18	1445	1426	39.05	79.22	0235	55	storm	alive
2018-02-08 17:28:45	35	17	1731	1297	49.46	76.29	0236	55	storm	alive
2018-02-08 17:28:46	36	18	1492	1394	41.44	77.44	0237	55	storm	alive
2018-02-08 17:28:47	35	17	1459	1169	41.69	68.76	0238	54	storm	alive
2018-02-08 17:28:48	35	19	1619	1411	46.26	74.26	0239	54	storm	alive
2018-02-08 17:28:49	37	19	1781	1715	48.14	90.26	0240	54	storm	alive
2018-02-08 17:28:50	41	17	1705	1169	41.59	68.76	0241	54	storm	alive
2018-02-08 17:28:51	40	18	1528	1458	38.20	81.00	0242	54	storm	alive
2018-02-08 17:28:52	36	18	1748	1506	48.56	83.67	0243	54	storm	alive
2018-02-08 17:28:53	36	19	1540	1331	42.78	70.05	0244	54	storm	alive
2018-02-08 17:28:54	33	18	1377	1378	41.73	76.56	0245	54	storm	alive
2018-02-08 17:28:55	35	18	1731	1810	49.46	100.56	0246	53	storm	alive
2018-02-08 17:28:56	36	19	1524	1699	42.33	89.42	0247	53	storm	alive
2018-02-08 17:28:57	34	18	1554	1426	45.71	79.22	0248	53	storm	alive
2018-02-08 17:28:58	36	19	1636	1827	45.44	96.16	0249	53	storm	alive
2018-02-08 17:28:59	38	18	1430	1570	37.63	87.22	0250	53	storm	alive
2018-02-08 17:29:00	38	19	1606	1731	42.26	91.11	0251	53	storm	alive
2018-02-08 17:29:01	40	18	1544	1602	38.60	89.00	0252	52	storm	alive
2018-02-08 17:29:02	42	19	1482	1859	35.29	97.84	0253	52	storm	alive
2018-02-08 17:29:03	37	19	1445	1683	39.05	88.58	0254	51	storm	alive
2018-02-08 17:29:04	38	18	1494	1554	39.32	86.33	0255	51	storm	alive
2018-02-08 17:29:05	36	20	1476	1876	41.00	93.80	0256	50	storm	alive
2018-02-08 17:29:06	40	20	1480	1908	37.00	95.40	0257	50	storm	alive
2018-02-08 17:29:07	39	18	1927	1714	49.41	95.22	0258	50	storm	alive
2018-02-08 17:29:08	39	19	2151	3091	55.15	162.68	0259	50	storm	alive
2018-02-08 17:29:09	38	20	2022	2932	53.21	146.60	0260	50	storm	alive
2018-02-08 17:29:10	39	21	2295	4485	58.85	213.57	0261	50	storm	alive
2018-02-08 17:29:11	37	18	2325	3634	62.84	201.89	0262	50	storm	alive
2018-02-08 17:29:12	36	21	2036	6181	56.56	294.33	0263	49	storm	alive
2018-02-08 17:29:13	35	20	1587	1540	45.34	77.00	0264	49	storm	alive
2018-02-08 17:29:14	36	20	1524	1268	42.33	63.40	0265	49	storm	alive
2018-02-08 17:29:15	36	20	1636	1444	45.44	72.20	0266	49	storm	alive
2018-02-08 17:29:16	39	20	1543	1556	39.56	77.80	0267	47	storm	alive
2018-02-08 17:29:17	45	20	1725	1540	38.33	77.00	0268	46	storm	alive
2018-02-08 17:29:18	42	20	1546	2100	36.81	105.00	0269	45	storm	alive
2018-02-08 17:29:19	45	20	1581	1284	35.13	64.20	0270	45	storm	alive
2018-02-08 17:29:20	45	20	1757	1732	39.04	86.60	0271	45	storm	alive
2018-02-08 17:29:21	44	20	1628	1220	37.00	61.00	0272	45	storm	alive
2018-02-08 17:29:22	44	20	1564	1252	35.55	62.60	0273	45	storm	alive
2018-02-08 17:29:23	44	20	1612	2228	36.64	111.40	0274	45	storm	alive
2018-02-08 17:29:24	46	20	1646	1188	35.78	59.40	0275	45	storm	alive
2018-02-08 17:29:25	44	20	1692	1012	38.45	50.60	0276	45	storm	alive
2018-02-08 17:29:26	42	19	1546	1251	36.81	65.84	0277	45	storm	alive
2018-02-08 17:29:27	44	21	1564	933	35.55	44.43	0278	44	storm	alive
2018-02-08 17:29:28	44	20	1564	724	35.55	36.20	0279	44	storm	alive
2018-02-08 17:29:29	42	20	1546	1108	36.81	55.40	0280	43	storm	alive
2018-02-08 17:29:30	45	20	1693	644	37.62	32.20	0281	43	storm	alive
2018-02-08 17:29:31	44	19	1532	851	34.82	44.79	0282	43	storm	alive
2018-02-08 17:29:32	42	20	1658	852	39.48	42.60	0283	42	storm	alive
2018-02-08 17:29:33	43	20	1659	772	38.58	38.60	0284	42	storm	alive
2018-02-08 17:29:34	45	20	1821	932	40.47	46.60	0285	42	storm	alive
2018-02-08 17:29:35	39	20	1735	1412	44.49	70.60	0286	42	storm	alive
2018-02-08 17:29:36	35	20	1603	916	45.80	45.80	0287	42	storm	alive
2018-02-08 17:29:37	35	20	1683	1444	48.09	72.20	0288	42	storm	alive
2018-02-08 17:29:38	38	20	1638	1060	43.11	53.00	0289	42	storm	alive
2018-02-08 17:29:39	41	20	1801	932	43.93	46.60	0290	42	storm	alive
2018-02-08 17:29:40	40	20	1560	1428	39.00	71.40	0291	42	storm	alive
2018-02-08 17:29:41	36	20	1540	1316	42.78	65.80	0292	42	storm	alive
2018-02-08 17:29:42	36	20	1620	948	45.00	47.40	0293	42	storm	alive
2018-02-08 17:29:43	40	20	1672	932	41.80	46.60	0294	42	storm	alive
2018-02-08 17:29:44	36	20	1540	996	42.78	49.80	0295	42	storm	alive
2018-02-08 17:29:45	34	20	1634	996	48.06	49.80	0296	42	storm	alive
2018-02-08 17:29:46	37	20	1557	964	42.08	48.20	0297	42	storm	alive
2018-02-08 17:29:47	41	20	1465	836	35.73	41.80	0298	42	storm	alive
2018-02-08 17:29:48	43	20	1563	900	36.35	45.00	0299	42	storm	alive
2018-02-08 17:29:49	42	20	1498	932	35.67	46.60	0300	42	storm	alive
2018-02-08 17:29:50	41	19	1561	835	38.07	43.95	0301	42	storm	alive
2018-02-08 17:29:51	37	20	1397	852	37.76	42.60	0302	42	storm	alive
2018-02-08 17:29:52	40	20	1544	788	38.60	39.40	0303	42	storm	alive
2018-02-08 17:29:53	40	20	1448	1156	36.20	57.80	0304	42	storm	alive
2018-02-08 17:29:54	39	20	1687	932	43.26	46.60	0305	42	storm	alive
2018-02-08 17:29:55	40	20	1576	916	39.40	45.80	0306	42	storm	alive
2018-02-08 17:29:56	38	20	1638	804	43.11	40.20	0307	42	storm	alive
2018-02-08 17:29:57	39	20	1655	852	42.44	42.60	0308	42	storm	alive
2018-02-08 17:29:58	40	20	1368	772	34.20	38.60	0309	42	storm	alive
2018-02-08 17:29:59	38	20	1718	772	45.21	38.60	0310	42	storm	alive
2018-02-08 17:30:00	36	20	1588	1108	44.11	55.40	0311	42	storm	alive
2018-02-08 17:30:01	37	20	1701	884	45.97	44.20	0312	42	storm	alive
2018-02-08 17:30:02	42	20	1754	1060	41.76	53.00	0313	42	storm	alive
2018-02-08 17:30:03	38	20	1382	884	36.37	44.20	0314	42	storm	alive
2018-02-08 17:30:04	43	20	1531	1012	35.60	50.60	0315	41	storm	alive
2018-02-08 17:30:05	28	17	1356	801	48.43	47.12	0316	41	storm	alive
